keys,zhc,zh,en
如果你每次都這麼帥，我可能會心動喔～,如果你每次都這麼帥，我可能會心動喔～,如果你每次都这么帅，我可能会心动喔～,That confidence… it suits you so well~
哼哼～你贏我一場，不代表贏得了我的心喔♥,哼哼～你贏我一場，不代表贏得了我的心喔♥,哼哼～你赢我一场，不代表赢得了我的心喔♥,Are you always this charming when you win?
嘻嘻～你現在的模樣，好讓人喜歡啊♡,嘻嘻～你現在的模樣，好讓人喜歡啊♡,嘻嘻～你现在的模样，好让人喜欢啊♡,You’ve won… now what are you going to do with me?
你真的會讓人有點心癢癢的耶～,你真的會讓人有點心癢癢的耶～,你真的会让人有点心痒痒的耶～,Your victory is… intoxicating~
看來我今天是被你收服了…,看來我今天是被你收服了…,看来我今天是被你收服了…,I might challenge you again just to feel this thrill~
贏了就別走啊～我還想多看看你～,贏了就別走啊～我還想多看看你～,赢了就别走啊～我还想多看看你～,Can I confess something? I love it when you win~
小心我開始對你產生好感喔♥,小心我開始對你產生好感喔♥,小心我开始对你产生好感喔♥,You’re becoming my favorite opponent… and more~
贏得那麼帥～是想迷倒誰啦？,贏得那麼帥～是想迷倒誰啦？,赢得那么帅～是想迷倒谁啦？,One more round… unless you’re scared to win again~
想不到你是認真的人耶，我喜歡這種～,想不到你是認真的人耶，我喜歡這種～,想不到你是认真的人耶，我喜欢这种～,I wonder what else you’re good at~
哇～我可能要重新評估你了喔♪,哇～我可能要重新評估你了喔♪,哇～我可能要重新评估你了喔♪,Winning looks very good on you~
不愧是你～讓我有點招架不住了啦～,不愧是你～讓我有點招架不住了啦～,不愧是你～让我有点招架不住了啦～,You’re not just playing the game… you’re playing me~
贏我這麼多次…你是不是想對我怎樣？嘻嘻～,贏我這麼多次…你是不是想對我怎樣？嘻嘻～,赢我这么多次…你是不是想对我怎样？嘻嘻～,You got me all flustered now… what next?
贏到這裡，你就甘心嗎？不想挑戰我最強狀態嗎？,贏到這裡，你就甘心嗎？不想挑戰我最強狀態嗎？,赢到这里，你就甘心吗？不想挑战我最强状态吗？,"One more win, and I’m yours~ maybe ♥"
嗯哼～你真的會玩嘛～讓我有點心跳加速了♡,嗯哼～你真的會玩嘛～讓我有點心跳加速了♡,嗯哼～你真的会玩嘛～让我有点心跳加速了♡,You just keep surprising me~
我都想替你加油了呢～這樣繼續贏下去吧！,我都想替你加油了呢～這樣繼續贏下去吧！,我都想替你加油了呢～这样继续赢下去吧！,You’re not playing fair… but I’m not complaining~
嘿～贏得這麼乾淨俐落，是想讓我崇拜你嗎？,嘿～贏得這麼乾淨俐落，是想讓我崇拜你嗎？,嘿～赢得这么干净俐落，是想让我崇拜你吗？,Another win like that and I might melt~
下一關更刺激喔～你…準備好了嗎？,下一關更刺激喔～你…準備好了嗎？,下一关更刺激喔～你…准备好了吗？,I can't look away when you’re in the lead~
你這種眼神，好像很有把握耶～我喜歡♥,你這種眼神，好像很有把握耶～我喜歡♥,你这种眼神，好像很有把握耶～我喜欢♥,I want more of that spark you’ve got~
贏了我之後，會對我負責嗎？哈哈～,贏了我之後，會對我負責嗎？哈哈～,赢了我之后，会对我负责吗？哈哈～,You're turning me into your biggest fan~
好吧…認真起來的你真的好帥喔～,好吧…認真起來的你真的好帥喔～,好吧…认真起来的你真的好帅喔～,"Is it getting hotter in here, or is it just you?"
你已經讓我期待下一次見面了～,你已經讓我期待下一次見面了～,你已经让我期待下一次见面了～,Don’t slow down now… keep going~
想挑戰更難的我嗎？那你要更努力囉♪,想挑戰更難的我嗎？那你要更努力囉♪,想挑战更难的我吗？那你要更努力啰♪,I’ve got something special for the next winner~
小心喔～越贏我越想黏著你♡,小心喔～越贏我越想黏著你♡,小心喔～越赢我越想黏着你♡,Keep winning like that… and I might surrender everything~
不知不覺…我好像有點欣賞你了♥,不知不覺…我好像有點欣賞你了♥,不知不觉…我好像有点欣赏你了♥,This game… is starting to feel like a date~
嘿～這勝利，是不是該抱一下慶祝呢？,嘿～這勝利，是不是該抱一下慶祝呢？,嘿～这胜利，是不是该抱一下庆祝呢？,That look in your eyes… you really want to conquer me?
再這樣贏下去…我會開始賴著你不放喔～,再這樣贏下去…我會開始賴著你不放喔～,再这样赢下去…我会开始赖着你不放喔～,"You play so well, I can’t help but cheer for you~"
你這樣表現，會讓其他人嫉妒我耶♪,你這樣表現，會讓其他人嫉妒我耶♪,你这样表现，会让其他人嫉妒我耶♪,You’re amazing… don’t stop proving it~
要不要再來一次？我想看看你的極限呢～,要不要再來一次？我想看看你的極限呢～,要不要再来一次？我想看看你的极限呢～,Hmm~ should I reward you with a little secret next time?
哼～你贏我一次，我就對你笑一次，好不好？,哼～你贏我一次，我就對你笑一次，好不好？,哼～你赢我一次，我就对你笑一次，好不好？,"Every time you win, I get more excited~"
這場勝利…我甘心送給你♥,這場勝利…我甘心送給你♥,这场胜利…我甘心送给你♥,You’ve already taken over the game… is my heart next?
認真打的你，真的好有魅力～,認真打的你，真的好有魅力～,认真打的你，真的好有魅力～,I’m starting to crave your victories~
我會記住你這場的勝利的唷～,我會記住你這場的勝利的唷～,我会记住你这场的胜利的唷～,"Keep going, champion~ I’m watching closely~"
這不是終點～我們的遊戲還沒結束呢♪,這不是終點～我們的遊戲還沒結束呢♪,这不是终点～我们的游戏还没结束呢♪,I love the way you take control~
哇～你已經成為我最想對手啦♡,哇～你已經成為我最想對手啦♡,哇～你已经成为我最想对手啦♡,You beat me… and I liked it~
好喜歡這種被你贏的感覺唷～,好喜歡這種被你贏的感覺唷～,好喜欢这种被你赢的感觉唷～,"Another round, just for you~"
想不到你這麼厲害～再贏一次我看看嘛～,想不到你這麼厲害～再贏一次我看看嘛～,想不到你这么厉害～再赢一次我看看嘛～,I wonder how far you’ll take this...
你這樣，我會以為你是來誘惑我的耶～,你這樣，我會以為你是來誘惑我的耶～,你这样，我会以为你是来诱惑我的耶～,You’re the kind of winner I can’t say no to~
贏得這麼帥，是不是該獎你一個微笑呢？,贏得這麼帥，是不是該獎你一個微笑呢？,赢得这么帅，是不是该奖你一个微笑呢？,"You're playing with my emotions now, aren't you?"
我有種預感…你接下來會讓我更心動～,我有種預感…你接下來會讓我更心動～,我有种预感…你接下来会让我更心动～,You’re too good… it’s unfair (but I love it)
要是每次都贏得這麼好看，我可能會失控唷～,要是每次都贏得這麼好看，我可能會失控唷～,要是每次都赢得这么好看，我可能会失控唷～,I feel like I’m the prize you’re fighting for~
好啦～我服了你！再來一次吧♥,好啦～我服了你！再來一次吧♥,好啦～我服了你！再来一次吧♥,Your dominance is irresistible~
嘻～我等你下一次的挑戰唷～,嘻～我等你下一次的挑戰唷～,嘻～我等你下一次的挑战唷～,You’ve won… but you can have so much more~
記得唷～我一直在等你回來再贏我一次♡,記得唷～我一直在等你回來再贏我一次♡,记得唷～我一直在等你回来再赢我一次♡,"Take me on again, and show me how far you'll go~"
